,Poll,Date,Sample,MoE,Obama (D),Romney (R),Spread,Days_Out
0,Final Results,,,--,51.1,47.2,Obama +3.9,
1,RCP Average,2012-11-05,,--,48.8,48.1,Obama +0.7,1.0
2,Politico,2012-11-05,1000.0,3.1,47.0,47.0,Tie,1.0
3,Rasmussen Reports,2012-11-05,1500.0,3.0,48.0,49.0,Romney +1,1.0
4,IBD,2012-11-05,712.0,3.7,50.0,49.0,Obama +1,1.0
5,CNN,2012-11-04,693.0,3.5,49.0,49.0,Tie,2.0
6,Gallup,2012-11-04,2700.0,2.0,49.0,50.0,Romney +1,2.0
7,ABC News,2012-11-04,2345.0,2.5,50.0,47.0,Obama +3,2.0
8,Monmouth,2012-11-04,1417.0,2.6,48.0,48.0,Tie,2.0
9,NBC News,2012-11-03,1475.0,2.6,48.0,47.0,Obama +1,3.0
10,Pew Research,2012-11-03,2709.0,2.2,50.0,47.0,Obama +3,3.0
11,Politico,2012-11-01,1000.0,3.1,48.0,48.0,Tie,5.0
12,FOX News,2012-10-30,1128.0,3.0,46.0,46.0,Tie,7.0
13,CBS News,2012-10-28,563.0,4.0,48.0,47.0,Obama +1,9.0
14,Pew Research,2012-10-28,1495.0,2.9,47.0,47.0,Tie,9.0
15,National Journal,2012-10-28,713.0,4.4,50.0,45.0,Obama +5,9.0
16,NPR,2012-10-25,1000.0,3.1,47.0,48.0,Romney +1,12.0
17,IBD,2012-10-27,930.0,3.5,45.0,44.0,Obama +1,10.0
18,Politico,2012-10-25,1000.0,3.1,49.0,48.0,Obama +1,12.0
19,Associated Press,2012-10-23,839.0,4.2,45.0,47.0,Romney +2,14.0
20,Monmouth,2012-10-21,1402.0,2.6,45.0,48.0,Romney +3,16.0
21,NBC News,2012-10-20,816.0,3.4,47.0,47.0,Tie,17.0
22,CBS News,2012-10-20,790.0,4.0,48.0,46.0,Obama +2,17.0
23,WashTimes,2012-10-20,800.0,3.5,50.0,47.0,Obama +3,17.0
24,Politico,2012-10-18,1000.0,3.1,47.0,49.0,Romney +2,19.0
25,Hartford Courant,2012-10-16,1023.0,3.0,48.0,45.0,Obama +3,21.0
26,ABC News,2012-10-13,923.0,3.5,49.0,46.0,Obama +3,24.0
27,Politico,2012-10-11,1000.0,3.1,49.0,48.0,Obama +1,26.0
28,Monmouth,2012-10-10,1360.0,2.7,46.0,47.0,Romney +1,27.0
29,FOX News,2012-10-09,1109.0,3.0,45.0,46.0,Romney +1,28.0
30,Gallup Tracking,2012-10-10,2700.0,2.0,47.0,48.0,Romney +1,27.0
31,Gallup Tracking,2012-10-10,3050.0,2.0,48.0,46.0,Obama +2,27.0
32,Pew Research,2012-10-07,1112.0,3.4,45.0,49.0,Romney +4,30.0
33,Rasmussen Reports,2012-10-06,1500.0,3.0,47.0,49.0,Romney +2,31.0
34,WashTimes,2012-10-07,800.0,3.5,45.0,45.0,Tie,30.0
35,Politico,2012-10-04,1000.0,3.1,49.0,48.0,Obama +1,33.0
36,Rasmussen Reports,2012-10-03,1500.0,3.0,49.0,47.0,Obama +2,34.0
37,Gallup Tracking,2012-10-03,3050.0,2.0,49.0,45.0,Obama +4,34.0
38,CNN,2012-09-30,783.0,3.5,50.0,47.0,Obama +3,37.0
39,National Journal,2012-09-30,789.0,4.2,47.0,47.0,Tie,37.0
40,NBC News,2012-09-30,832.0,3.4,49.0,46.0,Obama +3,37.0
41,NPR,2012-09-30,800.0,4.0,51.0,44.0,Obama +7,37.0
42,ABC News,2012-09-29,813.0,4.0,49.0,47.0,Obama +2,38.0
43,Quinnipiac,2012-09-30,1912.0,2.2,49.0,45.0,Obama +4,37.0
44,WashTimes,2012-09-29,800.0,3.5,50.0,41.0,Obama +9,38.0
45,Politico,2012-09-27,1000.0,3.1,49.0,47.0,Obama +2,40.0
46,FOX News,2012-09-26,1092.0,3.0,48.0,43.0,Obama +5,41.0
47,Bloomberg,2012-09-24,789.0,3.5,49.0,43.0,Obama +6,43.0
48,Politico,2012-09-20,1000.0,3.1,50.0,47.0,Obama +3,47.0
49,National Journal,2012-09-19,1055.0,3.0,50.0,43.0,Obama +7,48.0
50,Associated Press,2012-09-17,807.0,4.3,47.0,46.0,Obama +1,50.0
51,Hartford Courant,2012-09-18,1186.0,3.0,46.0,43.0,Obama +3,49.0
52,Rasmussen Reports,2012-09-16,1500.0,3.0,45.0,47.0,Romney +2,51.0
53,Reason-Rupe,2012-09-17,787.0,4.3,52.0,45.0,Obama +7,50.0
54,Monmouth,2012-09-16,1344.0,2.7,48.0,45.0,Obama +3,51.0
55,Gallup Tracking,2012-09-17,3050.0,2.0,47.0,46.0,Obama +1,50.0
56,NBC News,2012-09-16,736.0,3.6,50.0,45.0,Obama +5,51.0
57,Pew Research,2012-09-16,2268.0,2.4,51.0,43.0,Obama +8,51.0
58,FOX News,2012-09-11,1056.0,3.0,48.0,43.0,Obama +5,56.0
59,CBS News,2012-09-12,1162.0,3.0,49.0,46.0,Obama +3,55.0
60,Democracy Corps (D),2012-09-12,1000.0,3.1,50.0,45.0,Obama +5,55.0
61,Esquire,2012-09-10,724.0,5.0,50.0,46.0,Obama +4,57.0
62,Reuters,2012-09-10,873.0,3.4,48.0,45.0,Obama +3,57.0
63,Gallup Tracking,2012-09-11,3050.0,2.0,50.0,43.0,Obama +7,56.0
64,Rasmussen Reports,2012-09-09,1500.0,3.0,50.0,45.0,Obama +5,58.0
65,ABC News,2012-09-09,710.0,4.5,49.0,48.0,Obama +1,58.0
66,CNN,2012-09-09,709.0,3.5,52.0,46.0,Obama +6,58.0
67,IBD,2012-09-09,808.0,3.5,46.0,44.0,Obama +2,58.0
68,CNN,2012-09-03,735.0,3.5,48.0,48.0,Tie,64.0
69,Democracy Corps (D),2012-08-27,1000.0,3.1,49.0,47.0,Obama +2,71.0
70,CBS News,2012-08-26,1051.0,3.0,46.0,45.0,Obama +1,72.0
71,Gallup Tracking,2012-08-27,3050.0,2.0,46.0,47.0,Romney +1,71.0
72,Rasmussen Reports,2012-08-25,1500.0,3.0,47.0,45.0,Obama +2,73.0
73,ABC News,2012-08-25,857.0,4.0,46.0,47.0,Romney +1,73.0
74,CNN,2012-08-23,719.0,3.5,49.0,47.0,Obama +2,75.0
75,FOX News,2012-08-21,1007.0,3.0,44.0,45.0,Romney +1,77.0
76,Resurgent Republic (R),2012-08-22,1000.0,3.1,46.0,45.0,Obama +1,76.0
77,Associated Press,2012-08-20,885.0,4.1,47.0,46.0,Obama +1,78.0
78,NBC News,2012-08-20,1000.0,3.1,48.0,44.0,Obama +4,78.0
79,Monmouth,2012-08-19,1149.0,2.9,46.0,45.0,Obama +1,79.0
80,LA Times,2012-08-19,954.0,3.2,48.0,46.0,Obama +2,79.0
81,Rasmussen Reports,2012-08-10,1500.0,3.0,44.0,46.0,Romney +2,88.0
82,Gallup,2012-08-12,3050.0,2.0,46.0,46.0,Tie,86.0
83,CNN,2012-08-08,911.0,3.5,52.0,45.0,Obama +7,90.0
84,Politico,2012-08-09,1000.0,3.1,48.0,47.0,Obama +1,89.0
85,FOX News,2012-08-07,930.0,3.0,49.0,40.0,Obama +9,91.0
86,IBD,2012-08-10,828.0,3.5,46.0,39.0,Obama +7,88.0
87,Reuters,2012-08-06,1014.0,3.4,49.0,42.0,Obama +7,92.0
88,Rasmussen Reports,2012-07-31,1500.0,3.0,44.0,47.0,Romney +3,98.0
89,Gallup,2012-07-31,3050.0,2.0,47.0,45.0,Obama +2,98.0
90,Democracy Corps (D),2012-07-25,700.0,3.7,50.0,46.0,Obama +4,104.0
91,Pew Research,2012-07-26,1956.0,3.2,51.0,41.0,Obama +10,103.0
92,NBC News,2012-07-22,1000.0,3.1,49.0,43.0,Obama +6,107.0
93,FOX News,2012-07-17,901.0,3.0,45.0,41.0,Obama +4,112.0
94,CBS News,2012-07-16,942.0,3.0,46.0,47.0,Romney +1,113.0
95,Rasmussen Reports,2012-07-14,1500.0,3.0,45.0,45.0,Tie,115.0
96,Gallup,2012-07-14,3050.0,2.0,47.0,45.0,Obama +2,115.0
97,NPR,2012-07-12,1000.0,3.1,47.0,45.0,Obama +2,117.0
98,McClatchy,2012-07-11,849.0,3.5,48.0,46.0,Obama +2,118.0
99,WashTimes,2012-07-08,800.0,3.5,42.0,43.0,Romney +1,121.0
100,Reuters,2012-07-09,885.0,3.4,49.0,43.0,Obama +6,120.0
101,ABC News,2012-07-08,,4.0,47.0,47.0,Tie,121.0
102,Quinnipiac,2012-07-08,2722.0,1.9,46.0,43.0,Obama +3,121.0
103,Rasmussen Reports,2012-07-06,1500.0,3.0,45.0,45.0,Tie,123.0
104,Gallup,2012-07-08,3050.0,2.0,47.0,45.0,Obama +2,121.0
105,Pew Research,2012-07-09,2373.0,2.3,50.0,43.0,Obama +7,120.0
106,CNN,2012-07-01,1390.0,2.5,49.0,46.0,Obama +3,128.0
107,Newsweek,2012-06-28,600.0,4.0,47.0,44.0,Obama +3,131.0
108,Democracy Corps (D),2012-06-27,1000.0,3.1,49.0,46.0,Obama +3,132.0
109,FOX News,2012-06-26,912.0,3.0,45.0,40.0,Obama +5,133.0
110,NBC News,2012-06-24,819.0,3.4,47.0,44.0,Obama +3,135.0
111,Rasmussen Reports,2012-06-20,1500.0,3.0,43.0,47.0,Romney +4,139.0
112,Gallup,2012-06-20,3050.0,2.0,45.0,47.0,Romney +2,139.0
113,Bloomberg,2012-06-18,734.0,3.6,53.0,40.0,Obama +13,141.0
114,Associated Press,2012-06-18,878.0,4.2,47.0,44.0,Obama +3,141.0
115,Pew Research,2012-06-17,1563.0,2.9,50.0,46.0,Obama +4,142.0
116,Reuters,2012-06-11,848.0,3.4,45.0,44.0,Obama +1,148.0
117,Monmouth,2012-06-06,1152.0,2.9,47.0,46.0,Obama +1,153.0
118,Rasmussen Reports,2012-06-06,1500.0,3.0,46.0,46.0,Tie,153.0
119,Gallup,2012-06-08,3050.0,2.0,46.0,45.0,Obama +1,151.0
120,FOX News,2012-06-05,907.0,3.0,43.0,43.0,Tie,154.0
121,IBD,2012-06-08,841.0,3.5,46.0,42.0,Obama +4,151.0
122,CNN,2012-05-31,895.0,3.5,49.0,46.0,Obama +3,159.0
123,ABC News,2012-05-20,874.0,4.0,49.0,46.0,Obama +3,170.0
124,NBC News,2012-05-20,,--,47.0,43.0,Obama +4,170.0
125,Pew Research,2012-06-03,2388.0,2.3,49.0,42.0,Obama +7,156.0
126,Rasmussen Reports,2012-05-16,1500.0,3.0,45.0,46.0,Romney +1,174.0
127,Gallup,2012-05-17,3050.0,--,45.0,46.0,Romney +1,173.0
128,FOX News,2012-05-15,913.0,3.0,46.0,39.0,Obama +7,175.0
129,IBD,2012-05-16,778.0,3.6,43.0,40.0,Obama +3,174.0
130,Mason-Dixon,2012-05-14,1000.0,3.0,44.0,47.0,Romney +3,176.0
131,CBS News,2012-05-13,562.0,4.0,43.0,46.0,Romney +3,177.0
132,WashTimes,2012-05-12,800.0,3.5,43.0,44.0,Romney +1,178.0
133,Gallup,2012-05-09,3000.0,2.0,44.0,47.0,Romney +3,181.0
134,Associated Press,2012-05-07,871.0,4.2,50.0,42.0,Obama +8,183.0
135,Reuters,2012-05-07,959.0,3.2,49.0,42.0,Obama +7,183.0
136,Rasmussen Reports,2012-05-06,1500.0,3.0,45.0,47.0,Romney +2,184.0
137,Resurgent Republic (R),2012-05-03,1000.0,3.1,49.0,42.0,Obama +7,187.0
138,Politico,2012-05-03,1000.0,3.1,47.0,48.0,Romney +1,187.0
139,IBD,2012-05-04,856.0,3.3,46.0,43.0,Obama +3,186.0
140,Democracy Corps (D),2012-05-01,1000.0,4.0,47.0,47.0,Tie,189.0
141,Gallup,2012-04-28,2200.0,3.0,47.0,46.0,Obama +1,192.0
142,Rasmussen Reports,2012-04-27,1500.0,3.0,47.0,45.0,Obama +2,193.0
143,FOX News,2012-04-24,915.0,3.0,46.0,46.0,Tie,196.0
144,National Journal,2012-04-22,1004.0,3.7,47.0,39.0,Obama +8,198.0
145,NBC News,2012-04-17,,--,49.0,43.0,Obama +6,203.0
146,CBS News,2012-04-17,852.0,3.0,46.0,46.0,Tie,203.0
147,Quinnipiac,2012-04-17,2577.0,1.9,46.0,42.0,Obama +4,203.0
148,Gallup,2012-04-16,2200.0,3.0,43.0,48.0,Romney +5,204.0
149,CNN,2012-04-15,910.0,3.5,52.0,43.0,Obama +9,205.0
150,Rasmussen Reports,2012-04-15,1500.0,3.0,44.0,47.0,Romney +3,205.0
151,Reuters,2012-04-15,891.0,3.3,47.0,43.0,Obama +4,205.0
152,PPP(D),2012-04-15,900.0,3.3,49.0,46.0,Obama +3,205.0
153,Pew Research,2012-04-15,2373.0,2.3,49.0,45.0,Obama +4,205.0
154,FOX News,2012-04-11,910.0,3.0,44.0,46.0,Romney +2,209.0
155,Rasmussen Reports,2012-04-08,1500.0,3.0,46.0,44.0,Obama +2,212.0
156,ABC News,2012-04-08,,--,51.0,44.0,Obama +7,212.0
157,IBD,2012-04-05,816.0,3.3,46.0,38.0,Obama +8,215.0
158,USA Today,2012-03-26,901.0,4.0,49.0,45.0,Obama +4,225.0
159,CNN,2012-03-25,925.0,3.0,54.0,43.0,Obama +11,226.0
160,Rasmussen Reports,2012-03-25,1500.0,3.0,46.0,43.0,Obama +3,226.0
161,McClatchy,2012-03-22,846.0,3.5,46.0,44.0,Obama +2,229.0
162,PPP(D),2012-03-17,900.0,3.3,48.0,44.0,Obama +4,234.0
163,Reason-Rupe,2012-03-20,1200.0,3.0,46.0,40.0,Obama +6,231.0
164,FOX News,2012-03-12,912.0,3.0,46.0,42.0,Obama +4,239.0
165,Reuters,2012-03-11,937.0,3.3,52.0,41.0,Obama +11,240.0
166,Bloomberg,2012-03-11,746.0,3.6,47.0,47.0,Tie,240.0
167,Pew Research,2012-03-11,1188.0,3.5,54.0,42.0,Obama +12,240.0
168,Rasmussen Reports,2012-03-10,1500.0,3.0,42.0,48.0,Romney +6,241.0
169,CBS News,2012-03-11,878.0,3.0,47.0,44.0,Obama +3,240.0
170,ABC News,2012-03-10,,--,47.0,49.0,Romney +2,241.0
171,IBD,2012-03-11,807.0,3.3,46.0,41.0,Obama +5,240.0
172,NBC News,2012-03-03,,--,50.0,44.0,Obama +6,248.0
173,Politico,2012-02-22,1000.0,3.1,53.0,43.0,Obama +10,258.0
174,USA Today,2012-02-21,881.0,4.0,47.0,47.0,Tie,259.0
175,Associated Press,2012-02-20,1000.0,4.1,51.0,43.0,Obama +8,260.0
176,USA Today,2012-02-19,898.0,4.0,46.0,50.0,Romney +4,261.0
177,Rasmussen Reports,2012-02-18,1500.0,3.0,47.0,43.0,Obama +4,262.0
178,Quinnipiac,2012-02-20,2605.0,1.9,46.0,44.0,Obama +2,260.0
179,Democracy Corps (D),2012-02-14,1000.0,3.1,49.0,45.0,Obama +4,266.0
180,CNN,2012-02-13,937.0,3.0,51.0,46.0,Obama +5,267.0
181,CBS News,2012-02-13,1604.0,3.0,48.0,42.0,Obama +6,267.0
182,PPP(D),2012-02-12,1200.0,2.8,49.0,42.0,Obama +7,268.0
183,Pew Research,2012-02-12,1172.0,3.5,52.0,44.0,Obama +8,268.0
184,Rasmussen Reports,2012-02-09,1500.0,3.0,50.0,40.0,Obama +10,271.0
185,FOX News,2012-02-09,1110.0,3.0,47.0,42.0,Obama +5,271.0
186,Reuters,2012-02-06,881.0,3.3,48.0,42.0,Obama +6,274.0
187,ABC News,2012-02-04,879.0,4.0,51.0,45.0,Obama +6,276.0
188,IBD,2012-02-04,852.0,3.3,47.0,41.0,Obama +6,276.0
189,Rasmussen Reports,2012-02-02,1500.0,3.0,45.0,45.0,Tie,278.0
190,USA Today,2012-01-28,907.0,4.0,48.0,48.0,Tie,283.0
191,NBC News,2012-01-24,,--,49.0,43.0,Obama +6,287.0
192,Rasmussen Reports,2012-01-21,1500.0,3.0,46.0,43.0,Obama +3,290.0
193,PPP(D),2012-01-16,700.0,3.7,49.0,44.0,Obama +5,295.0
194,CBS News,2012-01-16,1021.0,3.0,45.0,45.0,Tie,295.0
195,ABC News,2012-01-15,,--,46.0,48.0,Romney +2,296.0
196,Pew Research,2012-01-16,1207.0,3.5,50.0,45.0,Obama +5,295.0
197,FOX News,2012-01-14,906.0,3.0,46.0,45.0,Obama +1,297.0
198,CNN,2012-01-12,928.0,3.0,47.0,48.0,Romney +1,299.0
199,Democracy Corps (D),2012-01-11,1000.0,3.1,47.0,46.0,Obama +1,300.0
200,Rasmussen Reports,2012-01-10,1000.0,3.0,44.0,41.0,Obama +3,301.0
201,Reuters,2012-01-09,896.0,3.2,48.0,43.0,Obama +5,302.0
202,CBS News,2012-01-08,1247.0,3.0,45.0,47.0,Romney +2,303.0
203,Rasmussen Reports,2012-01-04,1000.0,3.0,42.0,42.0,Tie,307.0
204,Rasmussen Reports,2011-12-28,1000.0,3.0,39.0,45.0,Romney +6,314.0
205,Rasmussen Reports,2011-12-21,1000.0,3.0,44.0,41.0,Obama +3,321.0
206,CNN,2011-12-18,928.0,3.0,52.0,45.0,Obama +7,324.0
207,PPP(D),2011-12-18,700.0,3.7,45.0,47.0,Romney +2,324.0
208,ABC News,2011-12-18,,--,47.0,47.0,Tie,324.0
209,USA Today,2011-12-18,898.0,4.0,50.0,48.0,Obama +2,324.0
210,Rasmussen Reports,2011-12-15,1000.0,3.0,42.0,43.0,Romney +1,327.0
211,Reuters,2011-12-12,921.0,3.2,48.0,40.0,Obama +8,330.0
212,Associated Press,2011-12-12,1000.0,4.0,47.0,46.0,Obama +1,330.0
213,NBC News,2011-12-11,,--,47.0,45.0,Obama +2,331.0
214,Rasmussen Reports,2011-12-09,1000.0,3.0,42.0,45.0,Romney +3,333.0
215,USA Today,2011-12-07,883.0,4.0,47.0,46.0,Obama +1,335.0
216,FOX News,2011-12-07,911.0,3.0,44.0,42.0,Obama +2,335.0
217,Rasmussen Reports,2011-12-01,1000.0,3.0,42.0,40.0,Obama +2,341.0
218,Rasmussen Reports,2011-11-22,1000.0,3.0,44.0,38.0,Obama +6,350.0
219,Quinnipiac,2011-11-20,2552.0,1.9,45.0,44.0,Obama +1,352.0
220,FOX News,2011-11-15,914.0,3.0,42.0,44.0,Romney +2,357.0
221,CNN,2011-11-13,925.0,3.0,47.0,51.0,Romney +4,359.0
222,Pew Research,2011-11-14,1576.0,3.0,49.0,47.0,Obama +2,358.0
223,PPP(D),2011-11-13,800.0,3.5,46.0,43.0,Obama +3,359.0
224,Rasmussen Reports,2011-11-10,1000.0,3.0,43.0,42.0,Obama +1,362.0
225,McClatchy,2011-11-10,872.0,3.5,48.0,44.0,Obama +4,362.0
226,Politico,2011-11-09,1000.0,3.1,49.0,43.0,Obama +6,363.0
227,NBC News,2011-11-05,,--,49.0,43.0,Obama +6,367.0
228,ABC News,2011-11-03,,--,46.0,47.0,Romney +1,369.0
229,Reuters,2011-11-03,937.0,3.2,43.0,44.0,Romney +1,369.0
230,Rasmussen Reports,2011-11-02,1000.0,3.0,42.0,41.0,Obama +1,370.0
231,Quinnipiac,2011-10-31,2294.0,2.1,47.0,42.0,Obama +5,372.0
232,USA Today,2011-10-27,908.0,4.0,47.0,47.0,Tie,376.0
233,Rasmussen Reports,2011-10-25,1000.0,3.0,42.0,44.0,Romney +2,378.0
234,Democracy Corps (D),2011-10-18,1000.0,--,45.0,45.0,Tie,385.0
235,Rasmussen Reports,2011-10-17,1000.0,3.0,43.0,42.0,Obama +1,386.0
236,Associated Press,2011-10-17,1000.0,4.0,48.0,45.0,Obama +3,386.0
237,Time,2011-10-10,838.0,--,48.0,44.0,Obama +4,393.0
238,PPP(D),2011-10-10,700.0,3.7,45.0,45.0,Tie,393.0
239,NBC News,2011-10-10,,--,46.0,44.0,Obama +2,393.0
240,Rasmussen Reports,2011-10-09,1000.0,3.0,43.0,41.0,Obama +2,394.0
241,Quinnipiac,2011-10-03,2118.0,2.1,42.0,46.0,Romney +4,400.0
242,ABC News,2011-10-02,,--,46.0,48.0,Romney +2,401.0
243,Pew Research,2011-10-04,1901.0,3.0,48.0,48.0,Tie,399.0
244,Rasmussen Reports,2011-09-29,1000.0,3.0,42.0,44.0,Romney +2,404.0
245,FOX News,2011-09-27,925.0,3.0,45.0,42.0,Obama +3,406.0
246,CNN,2011-09-25,917.0,3.0,49.0,48.0,Obama +1,408.0
247,Rasmussen Reports,2011-09-19,1000.0,3.0,44.0,41.0,Obama +3,414.0
248,USA Today,2011-09-18,889.0,4.0,47.0,49.0,Romney +2,415.0
249,McClatchy,2011-09-14,825.0,3.5,46.0,44.0,Obama +2,419.0
250,Bloomberg,2011-09-12,997.0,3.1,48.0,43.0,Obama +5,421.0
251,Reuters,2011-09-12,932.0,3.1,49.0,43.0,Obama +6,421.0
252,Rasmussen Reports,2011-09-11,1000.0,3.0,40.0,43.0,Romney +3,422.0
253,PPP(D),2011-09-11,665.0,3.8,49.0,45.0,Obama +4,422.0
254,ABC News,2011-09-01,,--,45.0,49.0,Romney +4,432.0
255,NBC News,2011-08-31,,--,46.0,45.0,Obama +1,433.0
256,Rasmussen Reports,2011-08-26,1000.0,3.0,43.0,39.0,Obama +4,438.0
257,Quinnipiac,2011-08-27,2730.0,1.9,45.0,45.0,Tie,437.0
258,PPP(D),2011-08-21,700.0,3.7,45.0,45.0,Tie,443.0
259,Rasmussen Reports,2011-08-21,1000.0,3.0,46.0,38.0,Obama +8,443.0
260,Gallup,2011-08-18,879.0,4.0,46.0,48.0,Romney +2,446.0
261,Democracy Corps (D),2011-08-10,1000.0,3.0,48.0,46.0,Obama +2,454.0
262,CNN,2011-08-07,930.0,3.0,49.0,48.0,Obama +1,457.0
263,McClatchy,2011-08-04,807.0,3.5,46.0,41.0,Obama +5,460.0
264,FOX News,2011-07-19,904.0,3.0,47.0,41.0,Obama +6,476.0
265,ABC News,2011-07-17,,--,49.0,47.0,Obama +2,478.0
266,NBC News,2011-07-17,,--,48.0,41.0,Obama +7,478.0
267,PPP(D),2011-07-17,928.0,3.2,45.0,45.0,Tie,478.0
268,Rasmussen Reports,2011-07-15,1000.0,3.0,42.0,43.0,Romney +1,480.0
269,Quinnipiac,2011-07-11,2311.0,2.0,47.0,41.0,Obama +6,484.0
270,McClatchy,2011-06-23,390.0,5.0,46.0,42.0,Obama +4,502.0
271,Democracy Corps (D),2011-06-21,1000.0,3.0,47.0,45.0,Obama +2,504.0
272,NBC News,2011-06-13,,3.1,49.0,43.0,Obama +6,512.0
273,PPP(D),2011-06-12,520.0,4.3,47.0,45.0,Obama +2,513.0
274,FOX News,2011-06-07,912.0,3.0,48.0,41.0,Obama +7,518.0
275,Reuters,2011-06-06,1132.0,3.0,51.0,38.0,Obama +13,519.0
276,ABC News,2011-06-05,,3.5,46.0,49.0,Romney +3,520.0
277,Quinnipiac,2011-06-06,1946.0,2.2,47.0,41.0,Obama +6,519.0
278,PPP(D),2011-05-25,600.0,4.0,49.0,42.0,Obama +7,531.0
279,Democracy Corps (D),2011-05-25,1000.0,3.0,48.0,44.0,Obama +4,531.0
280,Politico,2011-05-12,1000.0,3.1,52.0,40.0,Obama +12,544.0
281,Reuters,2011-05-09,600.0,--,51.0,38.0,Obama +13,547.0
282,PPP(D),2011-05-08,814.0,3.4,47.0,42.0,Obama +5,548.0
283,Newsweek,2011-05-03,600.0,3.0,42.0,36.0,Obama +6,553.0
284,Newsweek,2011-05-01,600.0,3.0,44.0,44.0,Tie,555.0
285,CNN,2011-05-01,964.0,3.0,54.0,43.0,Obama +11,555.0
286,ABC News,2011-04-17,1001.0,3.5,49.0,45.0,Obama +4,569.0
287,McClatchy,2011-04-14,532.0,4.5,46.0,45.0,Obama +1,572.0
288,Democracy Corps (D),2011-04-12,1000.0,3.1,46.0,48.0,Romney +2,574.0
289,PPP(D),2011-04-10,532.0,4.3,47.0,41.0,Obama +6,576.0
290,PPP(D),2011-03-13,642.0,3.9,47.0,42.0,Obama +5,604.0
291,Rasmussen Reports,2011-03-09,2000.0,2.0,45.0,40.0,Obama +5,608.0
292,NBC News,2011-02-28,,--,49.0,40.0,Obama +9,617.0
293,Newsweek,2011-02-15,918.0,3.5,49.0,47.0,Obama +2,630.0
294,PPP(D),2011-02-14,600.0,4.0,46.0,41.0,Obama +5,631.0
295,FOX News,2011-02-09,911.0,3.0,48.0,41.0,Obama +7,636.0
296,PPP(D),2011-01-16,632.0,3.9,48.0,43.0,Obama +5,660.0
297,Democracy Corps (D),2011-01-12,1000.0,3.0,48.0,46.0,Obama +2,664.0
298,McClatchy,2011-01-10,827.0,3.5,51.0,38.0,Obama +13,666.0
299,Rasmussen Reports,2011-01-06,2000.0,--,42.0,44.0,Romney +2,670.0
300,NBC News,2010-12-13,1000.0,3.1,47.0,40.0,Obama +7,694.0
301,McClatchy,2010-12-08,873.0,3.5,44.0,46.0,Romney +2,699.0
302,PPP(D),2010-11-21,707.0,3.7,47.0,46.0,Obama +1,716.0
303,Quinnipiac,2010-11-15,2424.0,2.0,44.0,45.0,Romney +1,722.0
304,CNN,2010-10-30,921.0,3.0,45.0,50.0,Romney +5,738.0
305,FOX News,2010-09-29,900.0,3.0,41.0,40.0,Obama +1,769.0
306,PPP(D),2010-09-13,590.0,4.0,46.0,43.0,Obama +3,785.0
307,PPP(D),2010-08-09,606.0,4.0,45.0,42.0,Obama +3,820.0
308,PPP(D),2010-07-12,667.0,3.8,43.0,46.0,Romney +3,848.0
309,PPP(D),2010-06-07,650.0,3.8,45.0,42.0,Obama +3,883.0
310,PPP(D),2010-05-09,707.0,3.7,46.0,44.0,Obama +2,912.0
311,PPP(D),2010-04-11,622.0,3.9,44.0,45.0,Romney +1,940.0
312,CNN,2010-04-11,907.0,3.5,53.0,45.0,Obama +8,940.0
313,PPP(D),2010-03-14,1403.0,2.6,44.0,44.0,Tie,968.0
314,PPP(D),2010-02-15,743.0,3.6,45.0,43.0,Obama +2,995.0
315,PPP(D),2010-01-19,1151.0,2.8,44.0,42.0,Obama +2,1022.0
316,FOX News,2010-01-14,900.0,3.0,47.0,35.0,Obama +12,1027.0
317,PPP(D),2010-12-07,1253.0,2.8,47.0,42.0,Obama +5,700.0
318,Rasmussen Reports,2010-11-24,800.0,3.5,44.0,44.0,Tie,713.0
319,PPP(D),2010-11-15,1066.0,3.0,48.0,43.0,Obama +5,722.0
320,PPP(D),2010-10-19,766.0,3.5,48.0,40.0,Obama +8,749.0
321,PPP(D),2010-09-21,621.0,3.9,48.0,39.0,Obama +9,777.0
322,PPP(D),2010-08-17,909.0,3.3,47.0,40.0,Obama +7,812.0
323,Rasmussen Reports,2010-07-17,1000.0,3.0,45.0,45.0,Tie,843.0
324,PPP(D),2010-07-16,577.0,4.1,49.0,40.0,Obama +9,844.0
325,PPP(D),2010-06-16,638.0,3.9,48.0,40.0,Obama +8,874.0
326,PPP(D),2010-05-18,1000.0,3.1,53.0,35.0,Obama +18,903.0
327,PPP(D),2010-04-19,686.0,3.7,50.0,39.0,Obama +11,932.0
